interviewed,hired,appdate,age,sex,residence,GPA.u,GPA.g,MA,substitute,teaching,experience,workkids,volunteer,agegroup
no,no,4/16/03,32,Female,2,3.8,3.87,yes,no,yes,12,yes,no,younger
no,no,3/24/04,24,Female,2,3.98,N/A,no,no,yes,8,no,no,younger
no,no,6/28/04,27,Male,2,N/A,4,yes,no,yes,3,no,no,younger
no,no,1/13/04,26,Female,2,3.66,4,yes,no,yes,1,no,no,younger
no,no,5/10/04,33,Male,2,2.93,N/A,yes,no,yes,17,no,no,younger
no,no,8/13/04,24,Female,2,3.42,N/A,no,no,yes,7,yes,no,younger
no,no,3/20/03,36,Female,2,3.42,3.23,yes,no,yes,5,yes,no,younger
no,no,6/30/04,27,Female,2,3,N/A,no,no,yes,3,yes,no,younger
no,no,4/28/04,24,Female,2,3.83,N/A,no,yes,yes,2,yes,no,younger
no,no,7/2/04,37,Female,2,2.68,3.9,yes,no,yes,0,no,no,younger
no,no,5/5/03,27,Male,2,3,N/A,pending,yes,yes,2,no,no,younger
no,no,2/18/04,22,Female,3,3.75,N/A,no,no,yes,0,no,no,younger
no,no,7/8/04,23,Female,2,2.95,N/A,no,no,no,0,no,yes,younger
no,no,6/29/04,NA,Female,2,3.46,3.95,yes,no,yes,0,no,no,NA
no,no,8/4/03,25,Male,2,3.03,N/A,no,no,yes,2,yes,no,younger
no,no,N/A,NA,Female,2,N/A,N/A,no,no,yes,8,yes,no,NA
no,no,4/19/03,28,Female,3,3.17,N/A,no,no,yes,11,yes,no,younger
no,no,4/16/03,26,Female,3,2.68,N/A,no,no,yes,3,yes,no,younger
no,no,5/9/03,31,Female,2,3.08,3.59,yes,yes,yes,8,no,no,younger
no,no,8/2/04,27,Female,2,3.9,N/A,no,no,yes,3,yes,no,younger
no,no,4/19/02,37,Female,2,2.97,2.83,yes,yes,yes,5,no,no,younger
no,no,3/26/03,31,Female,2,3.66,N/A,no,no,yes,4,no,no,younger
no,no,6/28/03,34,Female,2,3.5,3.88,yes,no,yes,10,yes,no,younger
no,no,5/15/04,38,Female,1,3.49,3.74,no,no,yes,5,no,no,younger
no,no,4/7/04,NA,Female,2,3.12,N/A,no,no,yes,2,yes,no,NA
no,no,7/16/04,24,Female,2,N/A,N/A,no,yes,yes,6,yes,no,younger
no,no,7/11/03,25,Female,2,3.47,N/A,no,yes,yes,0,no,no,younger
no,no,5/25/04,25,Female,2,2.92,N/A,no,yes,yes,0,no,no,younger
no,no,4/23/03,25,Female,2,2.97,3.78,yes,no,yes,7,yes,no,younger
no,no,2/20/03,30,Female,2,3.3,N/A,no,no,no,4,no,no,younger
no,no,4/21/03,NA,Female,2,3.21,N/A,no,no,yes,0,no,no,NA
no,no,6/28/04,31,Male,1,3.32,3.61,yes,no,yes,8,no,no,younger
no,no,8/9/04,23,Female,2,3.2,N/A,no,no,yes,8,no,no,younger
no,no,4/10/04,23,Female,2,4,N/A,no,no,yes,5,no,no,younger
no,no,4/20/03,23,Female,2,3.56,N/A,no,yes,yes,7,yes,no,younger
no,no,6/13/04,28,Female,3,3.22,N/A,no,no,yes,8,yes,no,younger
no,no,6/28/04,25,Female,2,3.17,3.95,yes,no,yes,3,no,yes,younger
no,no,3/13/03,24,Female,2,N/A,N/A,no,no,yes,4,no,no,younger
no,no,4/18/04,41,Male,2,N/A,3.77,yes,no,yes,5,no,no,older
no,no,8/15/04,49,Female,2,2.78,N/A,yes,no,yes,0,no,no,older
no,no,6/10/04,54,Female,2,2.87,4,yes,no,yes,7,yes,no,older
no,no,3/22/04,44,Female,2,2.66,3.76,yes,no,yes,0,no,no,older
no,no,6/30/04,42,Female,2,3.04,N/A,no,no,yes,13,no,no,older
no,no,4/21/03,49,Female,2,3.62,N/A,no,no,yes,0,no,no,older
no,no,8/19/03,43,Female,2,2.96,N/A,no,yes,yes,8,no,no,older
no,no,6/27/04,47,Female,2,N/A,N/A,no,no,yes,24,yes,no,older
no,no,3/21/03,41,Female,1,3.38,4,yes,no,yes,6,no,no,older
no,no,6/13/03,46,Female,1,2.98,N/A,yes,no,no,0,no,no,older
no,no,6/10/03,NA,Female,2,3.06,N/A,no,no,yes,15,no,no,NA
no,no,7/16/04,43,Female,2,2.83,N/A,no,no,yes,19,no,no,older
no,no,3/11/04,51,Female,3,N/A,N/A,yes,yes,yes,0,no,no,older
no,no,7/30/03,54,Female,2,N/A,N/A,no,no,yes,23,no,no,older
no,no,7/3/03,57,Female,2,2.69,N/A,yes,no,yes,1,no,no,older
no,no,1/5/04,47,Female,2,N/A,N/A,yes,no,yes,29,yes,no,older
no,no,7/4/04,56,Male,2,3.74,3.9,yes,no,yes,11,no,no,older
no,no,7/14/04,47,Female,2,N/A,N/A,pending,no,yes,12,yes,no,older
no,no,4/27/04,57,Female,2,2.61,N/A,no,yes,no,21,no,no,older
no,no,6/6/04,43,Female,1,3.77,3.95,yes,yes,yes,12,yes,no,older
no,no,4/17/03,42,Male,2,3.75,3.87,yes,no,yes,3,no,no,older
no,no,7/2/04,41,Male,3,3.49,N/A,no,no,yes,4,yes,no,older
no,no,4/30/04,42,Female,2,N/A,3.92,yes,no,yes,0,no,no,older
no,no,8/6/03,41,Female,2,3.72,4.14,yes,no,yes,16,no,no,older
no,no,5/3/03,NA,Female,2,2.64,3.86,no,no,yes,0,no,no,NA
no,no,4/1/04,46,Female,2,3.22,3.94,yes,no,yes ,23,yes,no,older
no,no,4/22/03,41,Female,1,3.05,3.95,yes,no,yes,9,no,no,older
no,no,4/26/04,47,Female,1,3.82, N/A,no,no,no,14,no,no,older
no,no,6/8/04,44,Female,2,3.12,4,pending,no,yes,17,yes,no,older
no,no,7/11/03,40,Female,2,N/A,N/A,no,no,yes,7,no,no,older
