"pid","location","yearbuilt","totval","bedrooms","bathrooms","halfbaths"
3105,"827 WOODWARD AV","1910","132900",4,2,0
3106,"835 WOODWARD AV","1947","279000",0,0,NA
3107,"841 WOODWARD AV","1945","134200",3,1,0
3108,"847 WOODWARD AV","1930","164500",3,2,0
3109,"851 WOODWARD AV","1925","153700",2,1,1
3110,"855 WOODWARD AV","1910","159900",6,3,0
3111,"859 WOODWARD AV","1915","177200",6,3,0
3112,"863 WOODWARD AV","1910","185100",6,3,0
3113,"867 WOODWARD AV","1925","191100",6,2,1
3114,"81 OAKLEY ST","1930","136200",4,2,0
3115,"107 ASHLAND PL","1900","184100",5,3,0
3116,"115 ASHLAND PL","1927","140000",4,2,0
3117,"ASHLAND PL",NA,"37300",NA,NA,NA
3118,"590 FORBES AV","1954","242600",4,2,0
3119,"67 OAKLEY ST","1900","121700",2,1,0
