"pid","location","yearbuilt","totval","bedrooms","bathrooms","halfbaths"
1,"51 SOUTH END RD",NA,"1256500",NA,NA,NA
2,"75 SOUTH END RD",NA,"562100",NA,NA,NA
3,"199 SOUTH END RD","1950","208100",3,2,1
4,"11 URIAH ST","1989","202900",3,2,1
5,"181 SOUTH END RD","1945","164300",3,1,0
6,"169 SOUTH END RD","1940","150400",3,1,0
7,"173 SOUTH END RD","1986","184700",5,2,0
8,"165 SOUTH END RD","1940","135800",3,1,1
9,"161 SOUTH END RD","1930","137100",2,1,0
10,"157 SOUTH END RD","1900","133600",1,1,0
11,"153 SOUTH END RD",NA,"59300",NA,NA,NA
12,"SOUTH END RD",NA,"211700",NA,NA,NA
13,"107 SOUTH END RD",NA,"63300",NA,NA,NA
14,"101 SOUTH END RD",NA,"55700",NA,NA,NA
15,"95 SOUTH END RD",NA,"59900",NA,NA,NA
16,"SOUTH END RD",NA,"2700",NA,NA,NA
17,"91 SOUTH END RD",NA,"63400",NA,NA,NA
18,"103 SOUTH END RD",NA,"60700",NA,NA,NA
19,"SOUTH END RD",NA,"70200",NA,NA,NA
20,"URIAH ST",NA,"2661800",NA,NA,NA
21,"SOUTH END RD",NA,"359400",NA,NA,NA
22,"SOUTH END RD",NA,"826700",NA,NA,NA
23,"5 DOUGLASS AV","1940","185100",2,1,1
24,"11 DOUGLASS AV","1940","249900",3,2,0
25,"17 DOUGLASS AV","1940","129600",2,1,0
26,"23 DOUGLASS AV","1925","128900",2,1,0
27,"29 DOUGLASS AV","1940","170200",4,1,0
28,"32 URIAH ST",NA,"60100",NA,NA,NA
29,"24 URIAH ST","1975","169100",3,1,0
30,"20 URIAH ST","1969","151500",3,1,0
31,"1 TOWNSEND AV","1930","165600",2,1,0
32,"1 TOWNSEND AV #A","1938","173100",2,1,0
33,"1 TOWNSEND AV #B","1952","203400",3,1,1
34,"9 TOWNSEND AV","1927","183400",3,1,1
35,"17 JOHNSTON ST","1935","166900",3,1,1
36,"30 DOUGLASS AV","1920","151800",3,1,0
37,"24 DOUGLASS AV","1930","188100",3,1,0
38,"20 DOUGLASS AV","1930","183000",3,1,0
39,"3 TOWNSEND AV","1935","275200",5,2,0
40,"3A TOWNSEND AV","1954","160100",3,1,0
41,"5 TOWNSEND AV","1920","165200",1,1,1
42,"7 TOWNSEND AV","1920","196100",3,1,1
43,"MORRIS CSWY",NA,"3306600",NA,NA,NA
44,"URIAH ST",NA,"5978300",NA,NA,NA
45,"MORRIS CSWY",NA,"63100",NA,NA,NA
46,"25 TOWNSEND AV","1976","378500",0,0,NA
47,"19 MORRIS CSWY","1938","180300",2,2,0
48,"25 MORRIS CSWY","1955","189800",3,2,0
49,"31 MORRIS CSWY","1960","176200",2,1,0
50,"39 MORRIS CSWY","1959","155500",3,1,0
51,"43 MORRIS CSWY","1950","159800",3,1,1
52,"49 MORRIS CSWY","2006","2967500",NA,NA,NA
53,"11 TOWNSEND AV","1925","175400",2,1,0
54,"13 TOWNSEND AV","1929","171900",3,1,1
55,"15 TOWNSEND AV","1945","172500",3,1,0
56,"17 TOWNSEND AV","1920","146900",3,1,1
57,"19 TOWNSEND AV","1920","172600",4,2,0
58,"21 TOWNSEND AV","1915","174700",3,2,0
59,"1209 DEAN ST",NA,"5500",NA,NA,NA
60,"1227 DEAN ST",NA,"2700",NA,NA,NA
61,"1237 DEAN ST",NA,"2700",NA,NA,NA
62,"1251 DEAN ST",NA,"2700",NA,NA,NA
63,"DEAN ST",NA,"2700",NA,NA,NA
64,"1271 DEAN ST",NA,"3300",NA,NA,NA
65,"DEAN ST",NA,"1800",NA,NA,NA
66,"1285 DEAN ST",NA,"1800",NA,NA,NA
67,"1305 DEAN ST",NA,"5800",NA,NA,NA
68,"1327 DEAN ST",NA,"5800",NA,NA,NA
69,"191 BURR ST","1930","1601900",0,0,NA
70,"269 BURR ST",NA,"400100",NA,NA,NA
71,"353 BURR ST",NA,"865800",NA,NA,NA
72,"425 DODGE AV",NA,"1286500",NA,NA,NA
73,"392 BURR ST",NA,"800",NA,NA,NA
74,"400 BURR ST #1",NA,"620",NA,NA,NA
75,"400 BURR ST #2",NA,"340",NA,NA,NA
76,"400 BURR ST #3",NA,"410",NA,NA,NA
77,"396 BURR ST #4","1990","255900",4,2,1
78,"400 BURR ST #5","2009","272800",3,2,1
79,"400 BURR ST #6","2009","283900",3,2,1
80,"400 BURR ST #7","2009","307800",3,2,1
81,"400 BURR ST #8","2009","327500",3,2,1
82,"400 BURR ST #9","2009","273300",3,2,1
83,"392 BURR ST","1955","133800",3,1,0
84,"384 BURR ST","1957","129200",3,1,0
85,"374 BURR ST","1957","129600",3,1,0
86,"366 BURR ST","1956","132500",3,1,1
87,"360 BURR ST","1930","143600",4,2,0
88,"354 BURR ST","1950","143000",3,1,1
89,"348 BURR ST","1941","158700",3,1,0
90,"344 BURR ST",NA,"3600",NA,NA,NA
91,"342 BURR ST",NA,"63500",NA,NA,NA
92,"340 BURR ST","1950","149600",3,1,0
93,"336 BURR ST","1968","168600",3,1,1
94,"330 BURR ST","1964","146300",3,1,0
95,"320 BURR ST","1967","150500",3,1,1
96,"310 BURR ST","1965","156700",3,1,0
97,"175 TOWNSEND TER","1968","266400",3,1,1
98,"155 TOWNSEND TER","1970","297500",4,2,1
99,"147 TOWNSEND TER","1969","227600",3,2,1
100,"135 TOWNSEND TER","1965","190400",3,1,2
101,"215 HYDE ST","1969","207000",2,1,0
102,"223 HYDE ST","1972","157200",2,1,1
103,"235 HYDE ST","1966","217200",3,2,0
104,"118 TOWNSEND TER","1969","225300",4,1,1
105,"126 TOWNSEND TER","1969","160800",2,1,1
106,"132 TOWNSEND TER","1963","171300",3,2,0
107,"140 TOWNSEND TER","1966","181500",3,1,1
108,"144 TOWNSEND TER","1965","165800",3,1,1
109,"150 TOWNSEND TER","1965","152300",2,2,0
110,"158 TOWNSEND TER","1969","202100",3,2,0
111,"164 TOWNSEND TER","1971","222500",3,2,0
112,"168 TOWNSEND TER","1972","183200",3,2,0
113,"172 TOWNSEND TER","1968","215500",3,2,0
114,"176 TOWNSEND TER","1962","185700",3,1,1
115,"400 BURR ST",NA,"1600",NA,NA,NA
116,"393 BURR ST","1951","153600",3,2,0
117,"15 HOLMES ST",NA,"56400",NA,NA,NA
118,"25 HOLMES ST","1963","108000",3,1,1
119,"437 BURR ST","1959","136100",3,2,0
120,"427 BURR ST","1970","158300",3,1,1
121,"419 BURR ST","2001","200000",3,1,1
122,"409 BURR ST","1924","145600",4,2,0
123,"401 BURR ST","2002","214100",3,3,0
124,"18 HOLMES ST","2001","195900",3,1,1
125,"BURR ST",NA,"800",NA,NA,NA
126,"402 BURR ST",NA,"50500",NA,NA,NA
127,"404 BURR ST","1971","202600",3,2,0
128,"412 BURR ST","1975","185300",3,2,0
129,"416 BURR ST","1978","162100",3,1,1
130,"420 BURR ST","1978","174400",3,1,1
131,"434 BURR ST",NA,"54400",NA,NA,NA
132,"440 BURR ST","1978","178800",3,1,1
133,"408 BURR ST","1974","328800",4,4,0
134,"428 BURR ST",NA,"12700",NA,NA,NA
135,"44 LAURA LA",NA,"5400",NA,NA,NA
136,"675 TOWNSEND AV #116","1985","157600",2,2,0
137,"675 TOWNSEND AV #117","1985","196700",2,2,1
138,"675 TOWNSEND AV #118","1985","196700",2,2,1
139,"675 TOWNSEND AV #119","1985","157600",2,1,1
140,"675 TOWNSEND AV #120","1985","155800",2,1,1
141,"675 TOWNSEND AV #121","1985","196700",2,2,1
142,"675 TOWNSEND AV #132","1984","192700",2,2,1
143,"675 TOWNSEND AV #133","1984","155800",2,1,1
144,"675 TOWNSEND AV #134","1984","162000",2,1,1
145,"675 TOWNSEND AV #135","1984","190200",2,2,1
146,"675 TOWNSEND AV #136","1984","190200",2,2,1
147,"675 TOWNSEND AV #137","1984","155500",2,2,0
148,"675 TOWNSEND AV #138","1984","190200",2,2,1
149,"675 TOWNSEND AV #139","1984","155800",2,1,1
150,"675 TOWNSEND AV #140","1984","155800",2,1,1
151,"675 TOWNSEND AV #141","1984","190200",2,2,1
152,"675 TOWNSEND AV #142","1984","160700",2,2,0
153,"675 TOWNSEND AV #143","1984","193600",2,3,1
154,"675 TOWNSEND AV #154","1984","196400",2,3,1
155,"675 TOWNSEND AV #155","1984","155800",2,1,1
156,"675 TOWNSEND AV #156","1984","157600",2,1,1
157,"675 TOWNSEND AV #157","1984","190200",2,2,1
158,"675 TOWNSEND AV #158","1984","173500",2,2,0
159,"675 TOWNSEND AV #159","1984","190200",2,2,1
160,"675 TOWNSEND AV #160","1984","190200",2,2,1
161,"675 TOWNSEND AV #161","1984","155800",2,1,1
162,"675 TOWNSEND AV #162","1984","157600",2,1,1
163,"675 TOWNSEND AV #163","1984","177600",2,2,0
164,"675 TOWNSEND AV #164","1984","190200",2,2,1
165,"675 TOWNSEND AV #165","1984","155800",2,1,1
166,"675 TOWNSEND AV #166","1984","157500",2,1,1
167,"675 TOWNSEND AV #167","1984","155500",2,2,0
168,"675 TOWNSEND AV #168","1984","127500",1,1,0
169,"675 TOWNSEND AV #169","1984","158500",2,1,1
170,"675 TOWNSEND AV #170","1984","155800",2,1,1
171,"675 TOWNSEND AV #171","1984","155500",2,2,0
172,"675 TOWNSEND AV #178","1985","175400",2,2,0
173,"675 TOWNSEND AV #179","1985","158500",2,1,1
174,"675 TOWNSEND AV #180","1985","162300",2,1,1
175,"675 TOWNSEND AV #181","1985","154800",2,2,0
176,"675 TOWNSEND AV #190","1986","167900",2,2,0
177,"675 TOWNSEND AV #191","1986","155800",2,1,1
178,"675 TOWNSEND AV #192","1986","155800",2,1,1
179,"675 TOWNSEND AV #193","1987","177600",2,2,0
180,"675 TOWNSEND AV #186","1986","157600",2,2,0
181,"675 TOWNSEND AV #187","1986","156900",2,1,1
182,"675 TOWNSEND AV #188","1986","155800",2,1,1
183,"675 TOWNSEND AV #189","1986","157600",2,2,0
184,"675 TOWNSEND AV #182","1986","156900",2,2,0
185,"675 TOWNSEND AV #183","1986","155100",2,1,1
186,"675 TOWNSEND AV #184","1986","159100",2,1,1
187,"675 TOWNSEND AV #185","1986","177600",2,2,0
188,"675 TOWNSEND AV #176","1984","115000",1,1,0
189,"675 TOWNSEND AV #177","1984","158200",2,2,0
190,"675 TOWNSEND AV #172","1984","147600",2,1,1
191,"675 TOWNSEND AV #173","1984","158200",2,1,1
192,"675 TOWNSEND AV #174","1984","157600",2,1,1
193,"675 TOWNSEND AV #175","1985","113100",3,1,0
194,"675 TOWNSEND AV #152","1984","123400",1,1,0
195,"675 TOWNSEND AV #153","1984","155500",2,2,0
196,"675 TOWNSEND AV #148","1984","162800",2,1,1
197,"675 TOWNSEND AV #149","1984","155800",2,1,1
198,"675 TOWNSEND AV #150","1984","155800",2,1,1
199,"675 TOWNSEND AV #151","1984","129000",2,2,0
200,"675 TOWNSEND AV #144","1984","162800",2,1,1
201,"675 TOWNSEND AV #145","1984","155800",2,1,1
202,"675 TOWNSEND AV #146","1984","155800",2,1,1
203,"675 TOWNSEND AV #147","1984","164800",2,1,1
204,"675 TOWNSEND AV #128","1984","190200",2,2,1
205,"675 TOWNSEND AV #129","1984","155800",2,1,1
206,"675 TOWNSEND AV #130","1984","155800",2,1,1
207,"675 TOWNSEND AV #131","1984","190200",2,2,1
208,"675 TOWNSEND AV #126","1984","160400",2,2,1
209,"675 TOWNSEND AV #127","1984","204600",2,2,1
210,"675 TOWNSEND AV #122","1985","196700",2,2,1
211,"675 TOWNSEND AV #123","1985","155800",2,1,1
212,"675 TOWNSEND AV #124","1985","174400",2,1,1
213,"675 TOWNSEND AV #125","1985","196600",2,2,1
214,"675 TOWNSEND AV #112","1985","180700",2,2,1
215,"675 TOWNSEND AV #113","1985","155800",2,1,1
216,"675 TOWNSEND AV #114","1985","155800",2,1,1
217,"675 TOWNSEND AV #115","1985","196700",2,2,1
218,"675 TOWNSEND AV #108","1985","177600",2,2,0
219,"675 TOWNSEND AV #109","1985","160700",2,1,1
220,"675 TOWNSEND AV #110","1985","161400",2,1,1
221,"675 TOWNSEND AV #111","1984","198400",2,2,1
222,"675 TOWNSEND AV #104","1986","199400",2,2,1
223,"675 TOWNSEND AV #105","1986","158600",2,2,0
224,"675 TOWNSEND AV #106","1986","147000",2,1,1
225,"675 TOWNSEND AV #107","1986","157600",2,2,0
226,"675 TOWNSEND AV #101","1986","192700",2,2,1
227,"675 TOWNSEND AV #102","1986","157600",2,1,1
228,"675 TOWNSEND AV #103","1986","192700",2,2,1
229,"108 LAURA LA",NA,"9100",NA,NA,NA
230,"102 LAURA LA","1960","149400",2,1,0
231,"96 LAURA LA","1961","132100",3,1,0
232,"LAURA LA",NA,"2600",NA,NA,NA
233,"LAURA LA",NA,"5000",NA,NA,NA
234,"86 LAURA LA","1965","147300",3,1,0
235,"80 LAURA LA","1961","143500",3,1,0
236,"76 LAURA LA","1961","143800",3,1,0
237,"72 LAURA LA","1961","155600",3,1,0
238,"68 LAURA LA","1968","150600",3,1,1
239,"62 LAURA LA","1967","154400",3,1,0
240,"56 LAURA LA","1967","144100",3,2,0
241,"50 LAURA LA","1967","141200",3,1,0
242,"46 LAURA LA","1968","226500",5,2,0
243,"42 LAURA LA","1967","168100",3,1,0
244,"38 LAURA LA","1965","160600",2,1,0
245,"32 LAURA LA","1960","153400",3,1,0
246,"24 LAURA LA","1960","181800",3,1,0
247,"16 LAURA LA","1958","159000",3,1,0
248,"10 LAURA LA","1958","149300",3,1,0
249,"4 LAURA LA","1958","140400",2,1,0
250,"115 LAURA LA",NA,"13400",NA,NA,NA
251,"107 LAURA LA","1959","147900",3,1,0
252,"101 LAURA LA","1961","158000",3,2,0
253,"95 LAURA LA","1960","154800",2,2,0
254,"87 LAURA LA","1960","137800",3,1,0
255,"81 LAURA LA","1961","155200",3,1,0
256,"35 LAURA LA","1959","168800",3,1,0
257,"29 LAURA LA","1959","157800",3,1,0
258,"23 LAURA LA","1959","163500",3,1,0
259,"17 LAURA LA","1959","160500",3,1,0
260,"11 LAURA LA","1959","158900",3,1,0
261,"5 LAURA LA","1959","112700",3,2,0
262,"159 HUNTINGTON RD",NA,"2700",NA,NA,NA
263,"157 HUNTINGTON RD",NA,"2500",NA,NA,NA
264,"151 HUNTINGTON RD","1988","299300",3,3,1
265,"155 HUNTINGTON RD","1988","291700",4,2,1
266,"145 HUNTINGTON RD","1964","186400",3,1,1
267,"137 HUNTINGTON RD","1963","172500",3,1,1
268,"129 HUNTINGTON RD","1961","182400",3,2,0
269,"123 HUNTINGTON RD","1960","201000",3,3,0
270,"115 HUNTINGTON RD","1965","225700",3,2,1
271,"107 HUNTINGTON RD","1965","172400",3,2,0
272,"99 HUNTINGTON RD","1965","183900",8,3,0
273,"91 HUNTINGTON RD","1966","193000",6,2,0
274,"83 HUNTINGTON RD","1965","170600",6,2,0
275,"75 HUNTINGTON RD","1966","207600",5,3,0
276,"65 HUNTINGTON RD","1965","176700",3,1,0
277,"44 ELIZABETH ANN DR","1963","166400",6,2,0
278,"52 ELIZABETH ANN DR","1967","155600",5,2,0
279,"56 ELIZABETH ANN DR","1964","135900",6,2,0
280,"60 ELIZABETH ANN DR","1966","188800",5,3,0
281,"66 ELIZABETH ANN DR","1965","191200",5,3,0
282,"CHARTER OAK AV",NA,"5000",NA,NA,NA
283,"CHARTER OAK AV",NA,"5000",NA,NA,NA
284,"CHARTER OAK AV",NA,"6300",NA,NA,NA
285,"CHARTER OAK AV",NA,"5000",NA,NA,NA
286,"CHARTER OAK AV",NA,"5000",NA,NA,NA
287,"CHARTER OAK AV",NA,"5000",NA,NA,NA
288,"125 HUNTINGTON RD",NA,"5000",NA,NA,NA
289,"CHARTER OAK AV",NA,"5000",NA,NA,NA
290,"CHARTER OAK AV",NA,"5000",NA,NA,NA
291,"4 HUGHES ST EX","1972","167200",3,1,0
292,"8 HUGHES ST EX","1972","151500",3,1,0
293,"72 ELIZABETH ANN DR","1964","152800",5,2,0
294,"78 ELIZABETH ANN DR","1965","145100",4,2,0
295,"84 ELIZABETH ANN DR","1964","154000",4,2,0
296,"88 ELIZABETH ANN DR","1964","200300",6,4,0
297,"94 ELIZABETH ANN DR","1965","184500",5,3,0
298,"100 ELIZABETH ANN DR","1964","160500",4,2,0
299,"104 ELIZABETH ANN DR","1964","160200",5,2,0
300,"110 ELIZABETH ANN DR","1965","160900",4,2,0
301,"118 ELIZABETH ANN DR","1965","174700",6,2,0
302,"124 ELIZABETH ANN DR","1965","176200",4,2,0
303,"132 ELIZABETH ANN DR","1966","163700",4,2,0
304,"138 ELIZABETH ANN DR","1965","269000",7,3,2
305,"146 ELIZABETH ANN DR","1965","187100",4,2,0
306,"5 MASSACHUSETTS AV","1910","230700",4,2,1
307,"11 MASSACHUSETTS AV","1986","209900",3,2,0
308,"MASSACHUSETTS AV",NA,"2600",NA,NA,NA
309,"75 ELIZABETH ANN DR","1970","154200",4,2,0
310,"55 ELIZABETH ANN DR","1962","196600",5,3,0
311,"49 ELIZABETH ANN DR","1962","156400",5,2,0
312,"41 ELIZABETH ANN DR","1964","145700",4,2,0
313,"35 ELIZABETH ANN DR","1965","130100",4,2,0
314,"29 ELIZABETH ANN DR","1963","135300",4,2,0
315,"21 ELIZABETH ANN DR","1963","177400",5,2,0
316,"15 ELIZABETH ANN DR","1965","166200",6,3,0
317,"7 ELIZABETH ANN DR","1965","144700",4,2,0
318,"CLARENDON ST",NA,"40100",NA,NA,NA
319,"147 ELIZABETH ANN DR","1963","165100",4,3,0
320,"141 ELIZABETH ANN DR","1965","184300",6,3,0
321,"131 ELIZABETH ANN DR","1968","159500",6,2,0
322,"125 ELIZABETH ANN DR","1965","157400",6,2,0
323,"117 ELIZABETH ANN DR","1965","146600",5,2,0
324,"103 ELIZABETH ANN DR","1964","168700",6,2,0
325,"109 ELIZABETH ANN DR","1964","144200",5,2,0
326,"83 ELIZABETH ANN DR","1964","149400",6,3,0
327,"53 HUNTINGTON RD","1967","157700",3,1,0
328,"41 HUNTINGTON RD","1966","237200",3,3,0
329,"37 HUNTINGTON RD","1900","152500",3,1,0
330,"29 HUNTINGTON RD","1925","160300",3,1,0
331,"23 HUNTINGTON RD","1964","196800",4,2,NA
332,NA,NA,NA,NA,NA,NA
333,"87 CLARENDON ST","1952","185900",3,1,1
334,"95 CLARENDON ST","1958","205600",3,1,0
335,"105 CLARENDON ST","1951","178200",3,1,0
336,"8 ELIZABETH ANN DR","1963","137400",6,2,0
337,"18 ELIZABETH ANN DR","1964","135800",4,2,0
338,"28 ELIZABETH ANN DR","1964","138200",5,2,0
339,"32 ELIZABETH ANN DR","1965","135900",4,2,0
340,"821 TOWNSEND AV","1957","317300",2,2,0
341,"29 SOUND VIEW TER","1920","167000",3,1,1
342,"39 SOUND VIEW TER","1925","189400",3,1,1
343,"49 SOUND VIEW TER","1927","194400",3,1,1
344,"59 SOUND VIEW TER","1934","202000",3,1,1
345,"75 SOUND VIEW TER","1930","216600",4,1,1
346,"85 SOUND VIEW TER","1935","202800",3,2,0
347,"95 SOUND VIEW TER","1934","194300",3,1,1
348,"105 SOUND VIEW TER","1937","165700",2,1,1
349,"115 SOUND VIEW TER","1935","176900",2,1,1
350,"125 SOUND VIEW TER","1935","149400",2,1,0
351,"135 SOUND VIEW TER","1935","159900",3,1,1
352,"145 SOUND VIEW TER","1930","222600",3,1,1
353,"4 HORSLEY AV","1956","210100",3,2,1
354,"2 HORSLEY AV","1955","150500",2,1,0
355,"HORSLEY AV",NA,"300",NA,NA,NA
356,"TUTTLE DR",NA,"100",NA,NA,NA
357,"174 TUTTLE DR","1965","226400",3,1,1
358,"168 TUTTLE DR","1963","244500",3,2,0
359,"160 TUTTLE DR","1965","247100",3,1,1
360,"150 TUTTLE DR","1960","211500",2,1,1
361,"144 TUTTLE DR","1961","215000",3,1,1
362,"136 TUTTLE DR","1963","202000",3,1,1
363,"128 TUTTLE DR","1963","223800",2,1,1
364,"120 TUTTLE DR","1963","220200",3,2,1
365,"112 TUTTLE DR","1961","301100",3,2,0
366,"104 TUTTLE DR","1960","247300",2,1,1
367,"785 TOWNSEND AV","1950","243900",2,2,0
368,"795 TOWNSEND AV","1949","224800",3,1,1
369,"801 TOWNSEND AV","1956","250500",4,2,1
370,"TOWNSEND AV",NA,"6000",NA,NA,NA
371,"809 TOWNSEND AV","1900","245400",4,2,0
372,"91 HORSLEY AV","1940","201300",2,1,1
373,"265 UPSON TER","1950","163500",3,1,1
374,"285 UPSON TER","1950","189500",3,1,1
375,"40 HOPKINS DR","1977","322800",4,2,1
376,"30 HOPKINS DR","1960","163800",2,1,0
377,"22 HOPKINS DR","1959","241200",3,1,1
378,"14 HOPKINS DR","1966","201000",3,2,1
379,"8 HOPKINS DR","1960","220600",3,2,0
380,"4 HOPKINS DR","1988","337400",3,3,0
381,"HORSLEY AV",NA,"200",NA,NA,NA
382,"1 HORSLEY AV","1957","211900",2,2,0
383,"5 HORSLEY AV","1957","277700",3,2,1
384,"11 HORSLEY AV","1949","229200",3,2,0
385,"35 HORSLEY AV","1940","208000",2,1,1
386,"45 HORSLEY AV","1930","185800",3,1,1
387,"61 HORSLEY AV","1950","185600",3,2,0
388,"75 HORSLEY AV","1946","189800",3,2,1
389,"305 UPSON TER","1950","354200",3,2,1
390,"335 UPSON TER","1957","282600",5,3,0
391,"112 HUNTINGTON RD","1963","174500",2,1,0
392,"120 HUNTINGTON RD","1962","231900",3,2,0
393,"128 HUNTINGTON RD","1961","166100",2,1,1
394,"136 HUNTINGTON RD","1962","195400",3,1,1
395,"144 HUNTINGTON RD","1964","203100",3,2,0
396,"150 HUNTINGTON RD","1964","244400",3,2,1
397,"160 HUNTINGTON RD","2006","253900",3,2,1
398,"HOPKINS DR",NA,"5000",NA,NA,NA
399,"3 HOPKINS DR","1990","352600",4,3,0
400,"5 HOPKINS DR","1961","195800",3,1,1
401,"15 HOPKINS DR","1963","196100",3,1,1
402,"19 HOPKINS DR","1950","202200",3,1,1
403,"25 HOPKINS DR","1962","215600",2,1,0
404,"39 HOPKINS DR","1967","231500",3,1,1
405,"873 TOWNSEND AV","1945","219700",4,2,0
406,"131 UPSON TER","1930","250200",3,2,0
407,"20 LEROY TER","1954","172600",3,1,0
408,"16 LEROY TER","1935","278200",3,1,0
409,"60 SOUND VIEW TER","1930","172600",3,1,0
410,"44 SOUND VIEW TER","1930","267200",4,1,0
411,"30 SOUND VIEW TER","1928","176500",3,1,1
412,"835 TOWNSEND AV","1950","179400",2,1,0
413,"845 TOWNSEND AV","1935","272900",4,1,1
414,"853 TOWNSEND AV","1885","247000",4,3,0
415,"LEROY TER",NA,"500",NA,NA,NA
416,"155 UPSON TER","1920","175000",3,1,1
417,"165 UPSON TER","1930","189300",3,1,1
418,"175 UPSON TER","1935","189600",3,1,1
419,"185 UPSON TER","1930","216900",4,1,1
420,"195 UPSON TER","1927","201400",3,1,1
421,"205 UPSON TER","1930","174600",3,1,1
422,"215 UPSON TER","1938","206600",3,1,1
423,"140 SOUND VIEW TER","1925","202200",4,2,0
424,"70 HORSLEY AV","1969","167400",3,2,0
425,"136 SOUND VIEW TER","1935","212700",3,1,1
426,"126 SOUND VIEW TER","1941","193700",2,2,0
427,"114 SOUND VIEW TER","1931","195200",3,1,1
428,"104 SOUND VIEW TER","1938","210500",3,1,1
429,"92 SOUND VIEW TER","1938","212200",3,1,1
430,"80 SOUND VIEW TER","1935","217200",3,1,0
431,"15 LEROY TER","1950","177400",3,1,0
432,"773 TOWNSEND AV","1973","204700",3,1,1
433,"105 TUTTLE DR","1961","273200",4,3,0
434,"115 TUTTLE DR","1961","319100",4,2,0
435,"123 TUTTLE DR","1968","231800",3,1,1
436,"129 TUTTLE DR","1961","189600",3,1,1
437,"139 TUTTLE DR","1950","228800",2,2,0
438,"147 TUTTLE DR","1950","214000",3,1,1
439,"155 TUTTLE DR","1961","252500",3,2,0
440,"167 TUTTLE DR","1968","362500",4,4,0
441,"171 TUTTLE DR",NA,"800",NA,NA,NA
442,"110 TOWNSEND TER","1964","183500",3,2,0
443,"102 TOWNSEND TER","1964","179200",3,2,NA
444,"96 TOWNSEND TER","1963","171100",3,1,1
445,"90 TOWNSEND TER","1963","187200",2,2,0
446,"84 TOWNSEND TER","1963","182000",3,1,1
447,"80 TOWNSEND TER","1963","147100",2,1,0
448,"72 TOWNSEND TER","1964","216400",4,2,0
449,"66 TOWNSEND TER","1963","168800",2,1,1
450,"60 TOWNSEND TER","1963","165400",3,1,1
451,"52 TOWNSEND TER","1963","223500",3,1,1
452,"46 TOWNSEND TER","1962","189000",3,1,1
453,"38 TOWNSEND TER","1963","169300",2,1,0
454,"30 TOWNSEND TER","1962","192800",3,2,1
455,"22 TOWNSEND TER","1964","175100",2,1,0
456,"663 TOWNSEND AV","1967","314800",4,3,0
457,"701 TOWNSEND AV",NA,"1000",NA,NA,NA
458,"TOWNSEND AV",NA,"79600",NA,NA,NA
459,"709 TOWNSEND AV","1804","1085300",9,8,NA
460,"725 TOWNSEND AV",NA,"1900",NA,NA,NA
461,"745 TOWNSEND AV",NA,"500",NA,NA,NA
462,"757 TOWNSEND AV","1856","225400",4,2,1
463,"765 TOWNSEND AV","1959","239800",3,1,0
464,"601 TOWNSEND AV","1918","323000",4,1,1
465,"23 HALL ST","1965","192300",2,1,1
466,"27 HALL ST","1940","214200",2,2,1
467,"33 HALL ST","1946","223500",3,1,1
468,"41 HALL ST","1946","266100",5,2,1
469,"47 HALL ST","1946","189700",3,1,1
470,"55 HALL ST","1946","173500",3,1,1
471,"61 HALL ST","1946","169800",3,1,1
472,"65 HALL ST","1946","169500",3,1,1
473,"71 HALL ST","1946","204500",3,1,1
474,"77 HALL ST","1945","199900",3,1,1
475,"83 HALL ST","1946","171100",3,1,1
476,"89 HALL ST","1946","169400",3,1,1
477,"95 HALL ST","1946","172000",3,1,1
478,"103 HALL ST","1946","210900",3,1,1
479,"105 HALL ST","1946","175100",3,1,1
480,"424 FORT HALE RD","1957","182700",2,1,0
481,"408 FORT HALE RD","1920","186000",3,1,0
482,"400 FORT HALE RD","1920","180000",3,1,0
483,"386 FORT HALE RD","1928","177400",3,1,1
484,"368 FORT HALE RD","1880","188900",2,1,0
485,"FORT HALE RD",NA,"52700",NA,NA,NA
486,"350 FORT HALE RD","1930","182300",3,1,1
487,"340 FORT HALE RD","1920","208200",4,2,0
488,"330 FORT HALE RD","1920","181800",2,1,0
489,"320 FORT HALE RD","1930","186100",2,1,1
490,"306 FORT HALE RD","1934","174300",3,1,1
491,"294 FORT HALE RD","1930","228200",3,1,1
492,"280 FORT HALE RD","1941","217400",3,2,0
493,"270 FORT HALE RD","1930","238900",3,1,1
494,"260 FORT HALE RD","1930","232800",3,2,0
495,"581 TOWNSEND AV","1945","181400",2,1,1
496,"591 TOWNSEND AV","1945","243600",3,1,1
497,"106 HALL ST","1957","259900",2,3,0
498,"100 HALL ST","1946","235900",3,2,1
499,"94 HALL ST","1946","210800",3,1,1
500,"88 HALL ST","1946","182200",3,2,1
501,"82 HALL ST","1946","166200",3,1,1
502,"76 HALL ST","1945","206800",3,2,1
503,"72 HALL ST","1945","228800",4,2,0
504,"66 HALL ST","1946","184900",3,1,1
505,"60 HALL ST","1946","206400",3,1,1
506,"54 HALL ST","1946","203900",3,1,1
507,"46 HALL ST","1946","187300",3,1,1
508,"40 HALL ST","1946","212200",3,1,1
509,"34 HALL ST","1946","199800",3,1,1
510,"28 HALL ST","1946","196400",3,1,1
511,"22 HALL ST","1946","187000",3,1,1
512,"HALL ST",NA,"3300",NA,NA,NA
513,"8 HALL ST","1955","261000",3,2,0
514,"621 TOWNSEND AV","1950","257100",3,1,1
515,"635 TOWNSEND AV","1968","415700",3,2,1
516,"641 TOWNSEND AV",NA,"5300",NA,NA,NA
